id,filename,url,points
#########
# germany big cities up to 20k inhabitants
#########
Neubrandenburg,,https://data.whosonfirst.org/101/748/849/101748849.geojson
Dormagen,,https://data.whosonfirst.org/101/748/667/101748667.geojson
Neuwied,,https://data.whosonfirst.org/101/748/585/101748585.geojson
Sindelfingen,,https://data.whosonfirst.org/101/748/511/101748511.geojson
Plauen,,https://data.whosonfirst.org/101/748/587/101748587.geojson
Weimar,,https://data.whosonfirst.org/101/748/623/101748623.geojson
Kempten (Allgäu),kempten_allgaeu.json,https://data.whosonfirst.org/101/748/467/101748467.geojson
Rüsselsheim,ruesselsheim.json,https://data.whosonfirst.org/101/748/571/101748571.geojson
Bergheim,,https://data.whosonfirst.org/101/748/633/101748633.geojson
Herten,,https://data.whosonfirst.org/101/748/749/101748749.geojson
Rosenheim,,https://data.whosonfirst.org/101/748/471/101748471.geojson
Grevenbroich,,https://data.whosonfirst.org/101/748/669/101748669.geojson
Greifswald,,https://data.whosonfirst.org/101/748/863/101748863.geojson
Stralsund,,https://data.whosonfirst.org/101/748/867/101748867.geojson
Offenburg,,https://data.whosonfirst.org/101/748/497/101748497.geojson
Hürth,huerth.json,https://data.whosonfirst.org/101/748/639/101748639.geojson
Wesel,,https://data.whosonfirst.org/101/748/755/101748755.geojson
Garbsen,,https://data.whosonfirst.org/101/748/817/101748817.geojson
Friedrichshafen,,https://data.whosonfirst.org/101/748/469/101748469.geojson
Schwäbisch-Gmünd,schwaebisch-gmuend.json,https://data.whosonfirst.org/101/748/517/101748517.geojson
Langenfeld (Rheinland),langenfeld.json,https://data.whosonfirst.org/101/748/677/101748677.geojson
Nordhorn,,https://data.whosonfirst.org/101/748/823/101748823.geojson
Schweinfurt,,https://data.whosonfirst.org/101/748/575/101748575.geojson
Pulheim,,https://data.whosonfirst.org/101/748/631/101748631.geojson
Bad Salzuflen,bad_salzuflen.json,https://data.whosonfirst.org/101/748/775/101748775.geojson
Langenhagen,,https://data.whosonfirst.org/101/748/821/101748821.geojson
Hattingen,,https://data.whosonfirst.org/101/907/595/101907595.geojson,51.375853|7.185315
Baden-Baden,,https://data.whosonfirst.org/101/748/507/101748507.geojson
Waiblingen,,https://data.whosonfirst.org/101/748/523/101748523.geojson
Hilden,,https://data.whosonfirst.org/101/748/675/101748675.geojson
Meerbusch,,https://data.whosonfirst.org/101/748/661/101748661.geojson
